animal_id,intake_date,outcome_date,outcome_type,intake_type,animal_size
A1557017,2018-01-01,2018-01-06,LiveC,STRAY,LRG
A1557026,2018-01-01,2018-01-03,LiveC,STRAY,LRG
A1557027,2018-01-01,2018-01-02,LiveC,STRAY,LRG
A0834173,2018-01-01,2018-01-02,LiveC,STRAY,LRG
A1557029,2018-01-01,2018-01-02,LiveC,STRAY,LRG
A1557032,2018-01-01,2018-01-01,LiveC,STRAY,LRG
A1557033,2018-01-01,2018-01-11,LiveC,STRAY,SMALL
A1557036,2018-01-01,2018-01-06,LiveC,STRAY,MED
A1557039,2018-01-01,2018-01-05,Transf,STRAY,SMALL
A1557084,2018-01-02,2018-01-06,Transf,STRAY,LRG
A1557094,2018-01-02,2018-01-03,LiveC,STRAY,LRG
A1539296,2018-01-02,2018-01-03,LiveC,STRAY,TOY
A0776599,2018-01-02,2018-01-06,LiveC,STRAY,LRG
A1557098,2018-01-02,2018-01-03,LiveC,OTHER,LRG
A1557103,2018-01-02,2018-01-08,LiveC,STRAY,SMALL
A1557106,2018-01-02,2018-01-10,LiveC,STRAY,SMALL
A1557108,2018-01-02,2018-01-03,LiveC,STRAY,SMALL
A1557107,2018-01-02,2018-01-10,LiveC,STRAY,LRG
A1557109,2018-01-02,2018-01-03,LiveC,STRAY,SMALL
A1557110,2018-01-02,2018-01-06,LiveC,STRAY,SMALL
A1557115,2018-01-02,2018-01-03,LiveC,STRAY,SMALL
A1554836,2018-01-02,2018-01-24,LiveC,OTHER,LRG
A1557120,2018-01-02,2018-01-04,LiveC,STRAY,LRG
A1557121,2018-01-02,2018-01-03,LiveC,STRAY,SMALL
A1557133,2018-01-02,2018-01-03,LiveC,STRAY,LRG
A1557132,2018-01-02,2018-01-09,LiveC,OTHER,LRG
A1557136,2018-01-02,2018-01-07,LiveC,STRAY,MED
A1540083,2018-01-02,2018-01-07,LiveC,STRAY,SMALL
A1557140,2018-01-02,2018-01-10,LiveC,STRAY,LRG
A1557141,2018-01-02,2018-01-02,LiveC,STRAY,MED
A0810014,2018-01-02,2018-01-03,LiveC,STRAY,SMALL
A1557143,2018-01-02,2018-01-03,LiveC,STRAY,LRG
A1557145,2018-01-02,2018-02-01,LiveC,STRAY,LRG
A1557150,2018-01-02,2018-01-10,LiveC,STRAY,LRG
A1557164,2018-01-02,2018-01-05,LiveC,STRAY,SMALL
A1557171,2018-01-02,2018-01-02,NonL,STRAY,PUPPY
A1555900,2018-01-02,2018-01-03,LiveC,OTHER,LRG
A1481258,2018-01-02,2018-01-05,LiveC,OTHER,SMALL
A1557183,2018-01-02,2018-01-03,LiveC,STRAY,MED
A1089666,2018-01-02,2018-01-03,LiveC,STRAY,MED
A1557192,2018-01-02,2018-01-10,LiveC,STRAY,LRG
A1556329,2018-01-03,2018-01-03,LiveC,OTHER,SMALL
A1557258,2018-01-03,2018-01-25,Transf,STRAY,MED
A1557261,2018-01-03,2018-01-09,LiveC,STRAY,PUPPY
A1557262,2018-01-03,2018-01-09,LiveC,STRAY,PUPPY
A1041465,2018-01-03,2018-01-20,LiveC,STRAY,MED
A1557272,2018-01-03,2018-01-14,LiveC,STRAY,LRG
A0878271,2018-01-03,2018-01-06,LiveC,OWNER,TOY
A1557286,2018-01-03,2018-01-07,LiveC,OWNER,SMALL
A1357916,2018-01-03,2018-01-06,LiveC,OWNER,TOY
A1557289,2018-01-03,2018-01-13,LiveC,OWNER,SMALL
A1557315,2018-01-03,2018-01-20,LiveC,STRAY,SMALL
A1557316,2018-01-03,2018-02-18,Transf,STRAY,SMALL
A1555450,2018-01-03,2018-01-05,LiveC,OTHER,SMALL
A1557347,2018-01-03,2018-01-04,LiveC,STRAY,MED
A1510404,2018-01-03,2018-01-12,LiveC,OTHER,SMALL
A1557348,2018-01-03,2018-01-06,LiveC,STRAY,MED
A1557350,2018-01-03,2018-01-08,LiveC,OTHER,MED
A1557388,2018-01-04,2018-01-09,Transf,STRAY,SMALL
A1557396,2018-01-04,2018-01-06,LiveC,OWNER,PUPPY
A1557405,2018-01-04,2018-01-06,LiveC,STRAY,SMALL
A1557424,2018-01-04,2018-01-10,Transf,STRAY,MED
A1557428,2018-01-04,2018-01-10,LiveC,STRAY,SMALL
A1557429,2018-01-04,2018-01-10,LiveC,STRAY,SMALL
A1557430,2018-01-04,2018-01-08,Transf,STRAY,SMALL
A1557431,2018-01-04,2018-01-12,LiveC,OWNER,MED
A1557432,2018-01-04,2018-01-10,LiveC,OWNER,MED
A1557433,2018-01-04,2018-01-12,LiveC,OWNER,MED
A1557434,2018-01-04,2018-01-10,LiveC,OWNER,MED
A1557438,2018-01-04,2018-01-10,LiveC,STRAY,LRG
A1557443,2018-01-04,2018-01-05,LiveC,STRAY,MED
A1556348,2018-01-04,2018-01-05,LiveC,OTHER,MED
A1554889,2018-01-04,2018-01-08,LiveC,OTHER,LRG
A1546863,2018-01-04,2018-01-05,LiveC,STRAY,MED
A1557528,2018-01-05,2018-01-11,LiveC,STRAY,SMALL
A1557545,2018-01-05,2018-01-12,LiveC,STRAY,SMALL
A1557543,2018-01-05,2018-01-12,Transf,STRAY,LRG
A1557555,2018-01-05,2018-01-10,Transf,STRAY,SMALL
A1557556,2018-01-05,2018-01-05,Transf,OWNER,PUPPY
A1557557,2018-01-05,2018-01-13,LiveC,STRAY,SMALL
