section,step,action,column,role,value,scope,detail,rows_in,rows_affected,rows_out,animal_id_in,animal_id_affected,animal_id_out
stage,0,read,OC_raw.csv.gz,,,,11 column(s),192149,0,192149,160819,0,160819
stage,0,parse_dates,intake_date,,,,0 of 192149 supplied value(s) unparseable as ISO8601,192149,0,192149,160819,0,160819
stage,0,parse_dates,outcome_date,,,,0 of 191664 supplied value(s) unparseable as ISO8601,192149,0,192149,160819,0,160819
stage,0,parse_dates,dob,,,,0 of 191482 supplied value(s) unparseable as ISO8601,192149,0,192149,160819,0,160819
stage,0,derive,"nights, night_sign, window_presence, age, age_group",,,,"computed nights, night_sign, window_presence, age, age_group",192149,0,192149,160819,0,160819
stage,1,cut,animal_type,,,,"drop where animal_type in (BIRD, CAT, LIVESTOCK, OTHER)",192149,147385,44764,160819,123514,37305
stage,2,cut,window_presence,,,,"drop where window_presence in (AFTER, BEFORE, _UNKNOWN_)",44764,0,44764,37305,0,37305
stage,3,cut,intake_type,,,,"drop where intake_type in (DISPO REQ, EUTH REQ, FOUND, LOST, SURGERY, WILD)",44764,2213,42551,37305,2211,35206
stage,4,cut,intake_cond,,,,"drop where intake_cond in (DEAD, HEAD TEST)",42551,3036,39515,35206,3032,32269
stage,5,cut,kennel_no,,,,"drop where kennel_no in (FOUND, HOME, HOME EXP, LOST)",39515,2685,36830,32269,2652,29976
stage,6,cut,outcome_type,,,,"drop where outcome_type in (DELETE DUP, DISPOSAL, DOA, FOUND EXP, HOME EXP, LOST EXP, SURG SCHED, SURG WAIT)",36830,225,36605,29976,224,29762
stage,7,map,outcome_type,,,,ADOPTION -> TRANSFER where outcome_subtype in (RESCUE),36605,2921,36605,29762,2916,29762
stage,8,map,outcome_type,,,,"ADOPTION -> LiveC, CELL DOGS -> Transf, DIED -> NonL, ESCAPED -> NonL, EUTH -> NonL, FOSTER -> Transf, MISSING -> NonL, RESCU WAIT -> Transf, RET 2 WILD -> Transf, RTO -> LiveC, RTO 2 OS -> LiveC, RTO-DEAD -> NonL, RTO-S -> LiveC, RTO-TMH -> LiveC, TRANSFER -> Transf, _UNKNOWN_ -> InCare",36605,36605,36605,29762,29762,29762
stage,9,map,outcome_type,,,,"LiveC -> _NODATE_, NonL -> _NODATE_, Transf -> _NODATE_ where night_sign in (_UNKNOWN_)",36605,1,36605,29762,1,29762
stage,10,map,intake_type,,,,"BOARDING -> OTHER, CONFISCATE -> OTHER, DISASTER -> OTHER, FOSTER -> OTHER, OWNER SUR -> OWNER, RETURN -> OTHER, STRAY -> STRAY, STRAY OWN -> STRAY, TRANSFER -> OTHER",36605,36605,36605,29762,29762,29762
stage,11,map,animal_size,,,,"905-V -> _UNKNOWN_, KITTN -> _UNKNOWN_, LARGE -> LRG, OPS -> _UNKNOWN_, UNKWN -> _UNKNOWN_, X-LRG -> XL",36605,13509,36605,29762,10077,29762
stage,12,cut,night_sign,,,,drop where night_sign in (-1),36605,0,36605,29762,0,29762
stage,13,cut,age_group,,,,drop where age_group in (_OVER_),36605,19,36586,29762,17,29746
stage,14,dedup,"animal_id, intake_date, outcome_date, outcome_type, intake_type, animal_size",,,,"drop repeats of animal_id, intake_date, outcome_date, outcome_type, intake_type, animal_size where night_sign in (1)",36586,19,36567,29746,19,29746
