animal_id,intake_date,outcome_date,outcome_type,intake_type,animal_size,age_group
A1432506,2018-01-22,2018-07-26,NONL,OTH,_UNKNOWN_,ADULT
A1560635,2018-01-28,2020-01-28,LCOM,OTH,LARGE,ADULT
A0849898,2018-02-03,2018-09-08,LCOM,OWNER,LARGE,SENIOR
A1559207,2018-02-05,2018-06-03,LCOM,OWNER,LARGE,YOUNG
A1562678,2018-02-11,2019-07-06,LCOM,OWNER,LARGE,YOUNG
A0919574,2018-02-14,2018-06-09,TRAN,OTH,LARGE,SENIOR
A1563472,2018-02-17,2018-07-20,LCOM,OTH,LARGE,JUVENILE
A1562494,2018-02-21,2018-06-28,TRAN,RET,LARGE,ADULT
A1564009,2018-02-22,2019-01-16,LCOM,STRAY,LARGE,YOUNG
A1564142,2018-02-23,2018-11-07,TRAN,OTH,LARGE,ADULT
A1564184,2018-02-23,2018-10-05,LCOM,STRAY,LARGE,YOUNG
A1564890,2018-03-01,2019-03-01,TRAN,STRAY,LARGE,YOUNG
A1565156,2018-03-03,2019-10-04,LCOM,STRAY,LARGE,ADULT
A1564535,2018-03-10,2018-06-02,LCOM,RET,LARGE,YOUNG
A1566233,2018-03-11,2018-07-28,TRAN,STRAY,LARGE,YOUNG
A1566279,2018-03-12,2018-11-09,TRAN,STRAY,LARGE,ADULT
A1562534,2018-03-14,2018-07-25,LCOM,RET,SMALL,ADULT
A1567158,2018-03-20,2018-09-28,LCOM,STRAY,LARGE,SENIOR
A1568356,2018-03-27,2018-07-31,TRAN,STRAY,LARGE,YOUNG
A1568806,2018-03-30,2018-07-03,LCOM,STRAY,LARGE,YOUNG
A1566721,2018-04-01,2018-07-07,LCOM,RET,LARGE,YOUNG
A1569107,2018-04-02,2018-07-01,LCOM,STRAY,LARGE,ADULT
A1163296,2018-04-04,2018-06-13,LCOM,OWNER,LARGE,ADULT
A1568134,2018-04-09,2018-07-01,TRAN,RET,LARGE,ADULT
A1570498,2018-04-10,2019-04-06,LCOM,STRAY,LARGE,ADULT
A1570699,2018-04-11,2018-08-15,LCOM,STRAY,LARGE,YOUNG
A1490547,2018-04-13,2018-07-08,TRAN,STRAY,MED,YOUNG
A1571199,2018-04-16,2018-11-09,TRAN,STRAY,LARGE,YOUNG
A1526921,2018-04-17,2018-11-16,LCOM,OWNER,LARGE,YOUNG
A1571599,2018-04-18,2018-06-03,LCOM,STRAY,LARGE,YOUNG
A1561244,2018-04-22,2018-06-28,LCOM,OTH,MED,YOUNG
A1572257,2018-04-22,2018-06-16,LCOM,OTH,LARGE,YOUNG
A1572476,2018-04-23,2018-09-19,LCOM,STRAY,LARGE,YOUNG
A1572479,2018-04-23,2018-06-12,TRAN,STRAY,SMALL,YOUNG
A1558739,2018-04-23,2018-06-02,LCOM,OTH,SMALL,JUVENILE
A1573115,2018-04-26,2018-11-29,LCOM,STRAY,LARGE,YOUNG
A1573296,2018-04-28,2019-11-16,LCOM,STRAY,LARGE,ADULT
A1573314,2018-04-28,2019-04-07,TRAN,STRAY,LARGE,ADULT
A1573430,2018-04-28,2018-10-21,TRAN,STRAY,SMALL,ADULT
A1573444,2018-04-28,2018-10-02,LCOM,STRAY,LARGE,YOUNG
A1573490,2018-04-29,2018-07-23,LCOM,STRAY,LARGE,ADULT
A1571799,2018-05-02,2018-08-08,LCOM,RET,SMALL,ADULT
A1574169,2018-05-03,2018-06-16,LCOM,OWNER,LARGE,ADULT
A1574193,2018-05-03,2018-06-26,LCOM,STRAY,LARGE,YOUNG
A1574213,2018-05-03,2018-06-16,LCOM,STRAY,LARGE,JUVENILE
A1568390,2018-05-05,2018-06-02,LCOM,RET,MED,YOUNG
A1574601,2018-05-07,2018-06-06,TRAN,STRAY,PUPPY,JUVENILE
A1574600,2018-05-07,2018-06-06,TRAN,STRAY,PUPPY,JUVENILE
A1574599,2018-05-07,2018-06-06,TRAN,STRAY,PUPPY,JUVENILE
A1574598,2018-05-07,2018-06-06,TRAN,STRAY,PUPPY,JUVENILE
A1574597,2018-05-07,2018-06-06,TRAN,STRAY,SMALL,JUVENILE
A1574596,2018-05-07,2018-06-06,TRAN,STRAY,SMALL,JUVENILE
A1574595,2018-05-07,2018-06-06,TRAN,STRAY,PUPPY,JUVENILE
A1574594,2018-05-07,2018-07-26,TRAN,STRAY,LARGE,YOUNG
A1573993,2018-05-07,2018-07-11,LCOM,OWNER,LARGE,ADULT
A1574703,2018-05-07,2018-06-05,NONL,OTH,LARGE,SENIOR
A1539255,2018-05-10,2018-06-02,LCOM,STRAY,LARGE,YOUNG
A1575106,2018-05-10,2018-06-13,LCOM,OWNER,MED,ADULT
A1571802,2018-05-11,2018-06-21,LCOM,OTH,LARGE,JUVENILE
A1574300,2018-05-11,2018-06-02,LCOM,RET,LARGE,YOUNG
A1575356,2018-05-12,2018-06-09,LCOM,STRAY,LARGE,YOUNG
A1575369,2018-05-12,2018-06-09,LCOM,OTH,MED,YOUNG
A1575402,2018-05-12,2018-06-02,LCOM,STRAY,MED,ADULT
A1575486,2018-05-13,2018-10-16,LCOM,STRAY,LARGE,YOUNG
A1575618,2018-05-14,2018-06-09,LCOM,STRAY,MED,YOUNG
A1575653,2018-05-14,2019-02-23,LCOM,OWNER,LARGE,ADULT
A1575656,2018-05-14,2018-08-04,LCOM,OWNER,LARGE,ADULT
A1575727,2018-05-15,2018-06-24,LCOM,OTH,SMALL,YOUNG
A1340975,2018-05-15,2018-07-31,LCOM,OWNER,LARGE,ADULT
A1575824,2018-05-15,2020-02-26,LCOM,OTH,LARGE,YOUNG
A1575944,2018-05-16,2018-06-08,LCOM,OTH,LARGE,YOUNG
A1576090,2018-05-17,2018-06-06,LCOM,STRAY,SMALL,ADULT
A1138761,2018-05-17,2018-06-25,LCOM,OWNER,LARGE,ADULT
A1576131,2018-05-17,2018-06-02,LCOM,STRAY,SMALL,YOUNG
A1572318,2018-05-19,2018-06-02,LCOM,RET,MED,ADULT
A1576465,2018-05-19,2018-06-26,TRAN,STRAY,SMALL,SENIOR
A1485211,2018-05-20,2018-06-17,LCOM,OWNER,SMALL,ADULT
A1571394,2018-05-20,2018-06-03,LCOM,RET,LARGE,YOUNG
A1576784,2018-05-21,2018-08-04,LCOM,STRAY,LARGE,YOUNG
A1567327,2018-05-21,2018-07-26,TRAN,RET,LARGE,YOUNG
A1545265,2018-05-21,2018-06-23,LCOM,RET,LARGE,ADULT
A1576725,2018-05-21,2019-05-08,LCOM,OTH,LARGE,ADULT
A1511572,2018-05-22,2018-06-01,LCOM,OTH,LARGE,YOUNG
A1576858,2018-05-22,2018-06-01,LCOM,STRAY,SMALL,YOUNG
A1576872,2018-05-22,2018-06-06,LCOM,STRAY,LARGE,YOUNG
A1576893,2018-05-22,2018-06-03,LCOM,STRAY,SMALL,YOUNG
A1576896,2018-05-22,2018-06-26,LCOM,STRAY,LARGE,YOUNG
A1577002,2018-05-23,2018-06-04,LCOM,STRAY,LARGE,ADULT
A1577052,2018-05-23,2018-06-01,LCOM,STRAY,SMALL,YOUNG
A1577087,2018-05-23,2018-06-09,LCOM,STRAY,LARGE,YOUNG
